城市,年份,年收入
上海市,1,2334337.89
上海市,2,2381024.65
上海市,3,2428645.14
上海市,4,2477218.04
上海市,5,2526762.41
上海市,6,2577297.65
上海市,7,2628843.61
上海市,8,2681420.48
上海市,9,2735048.89
上海市,10,2789749.87
上海市,11,2789749.87
上海市,12,2789749.87
上海市,13,2789749.87
上海市,14,2789749.87
上海市,15,2789749.87
上海市,16,2789749.87
上海市,17,2789749.87
上海市,18,2789749.87
上海市,19,2789749.87
上海市,20,2789749.87
上海市,21,2789749.87
上海市,22,2789749.87
深圳市,1,2398296.54
深圳市,2,2446262.47
深圳市,3,2495187.72
深圳市,4,2545091.48
深圳市,5,2595993.31
深圳市,6,2647913.17
深圳市,7,2700871.44
深圳市,8,2754888.87
深圳市,9,2809986.64
深圳市,10,2866186.38
深圳市,11,2866186.38
深圳市,12,2866186.38
深圳市,13,2866186.38
深圳市,14,2866186.38
深圳市,15,2866186.38
深圳市,16,2866186.38
深圳市,17,2866186.38
深圳市,18,2866186.38
深圳市,19,2866186.38
深圳市,20,2866186.38
深圳市,21,2866186.38
深圳市,22,2866186.38
杭州市,1,1983855.16
杭州市,2,2023532.26
杭州市,3,2064002.91
杭州市,4,2105282.97
杭州市,5,2147388.63
杭州市,6,2190336.4
杭州市,7,2234143.13
杭州市,8,2278825.99
杭州市,9,2324402.51
杭州市,10,2370890.56
杭州市,11,2370890.56
杭州市,12,2370890.56
杭州市,13,2370890.56
杭州市,14,2370890.56
杭州市,15,2370890.56
杭州市,16,2370890.56
杭州市,17,2370890.56
杭州市,18,2370890.56
杭州市,19,2370890.56
杭州市,20,2370890.56
杭州市,21,2370890.56
杭州市,22,2370890.56
厦门市,1,1860094.93
厦门市,2,1897296.83
厦门市,3,1935242.76
厦门市,4,1973947.62
厦门市,5,2013426.57
厦门市,6,2053695.1
厦门市,7,2094769.01
厦门市,8,2136664.39
厦门市,9,2179397.67
厦门市,10,2222985.63
厦门市,11,2222985.63
厦门市,12,2222985.63
厦门市,13,2222985.63
厦门市,14,2222985.63
厦门市,15,2222985.63
厦门市,16,2222985.63
厦门市,17,2222985.63
厦门市,18,2222985.63
厦门市,19,2222985.63
厦门市,20,2222985.63
厦门市,21,2222985.63
厦门市,22,2222985.63
